locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSMUSG00000032376,Usp3,1,349,E,Essential
ENSMUSG00000032381,Fam96a,1,349,NE,Nonessential
ENSMUSG00000032382,Snx1,1,349,NE,Nonessential
ENSMUSG00000032383,Ppib,1,349,E,Essential
ENSMUSG00000032394,Igdcc3,1,349,NE,Nonessential
ENSMUSG00000032400,Zwilch,1,349,E,Essential
ENSMUSG00000032402,Smad3,1,349,E,Essential
ENSMUSG00000032405,Pias1,1,349,E,Essential
ENSMUSG00000032409,Atr,1,349,E,Essential
ENSMUSG00000032418,Me1,1,349,NE,Nonessential
ENSMUSG00000032419,Tbx18,1,349,E,Essential
ENSMUSG00000032420,Nt5e,1,349,NE,Nonessential
ENSMUSG00000032431,Crtap,1,349,NE,Nonessential
ENSMUSG00000032435,Dync1li1,1,349,NE,Nonessential
ENSMUSG00000032440,Tgfbr2,1,349,E,Essential
ENSMUSG00000032446,Eomes,1,349,E,Essential
ENSMUSG00000032454,Rbp2,1,349,NE,Nonessential
ENSMUSG00000032462,Pik3cb,1,349,E,Essential
ENSMUSG00000032463,Faim,1,349,NE,Nonessential
ENSMUSG00000032469,Dbr1,1,349,E,Essential
ENSMUSG00000032470,Mras,1,349,NE,Nonessential
ENSMUSG00000032473,Cldn18,1,349,NE,Nonessential
ENSMUSG00000032475,Nck1,1,349,NE,Nonessential
ENSMUSG00000032477,Cdc25a,1,349,E,Essential
ENSMUSG00000032478,Nme6,1,349,E,Essential
ENSMUSG00000032479,Mtap4,1,349,NE,Nonessential
ENSMUSG00000032480,Dhx30,1,349,E,Essential
ENSMUSG00000032481,Smarcc1,1,349,E,Essential
ENSMUSG00000032482,Cspg5,1,349,NE,Nonessential
ENSMUSG00000032485,Scap,1,349,NE,Nonessential
ENSMUSG00000032487,Ptgs2,1,349,E,Essential
ENSMUSG00000032492,Pth1r,1,349,E,Essential
ENSMUSG00000032494,Tdgf1,1,349,E,Essential
ENSMUSG00000032496,Ltf,1,349,NE,Nonessential
ENSMUSG00000032498,Mlh1,1,349,E,Essential
ENSMUSG00000032501,Trib1,1,349,NE,Nonessential
ENSMUSG00000032503,Arpp21,1,349,NE,Nonessential
ENSMUSG00000032508,Myd88,1,349,NE,Nonessential
ENSMUSG00000032511,Scn5a,1,349,E,Essential
ENSMUSG00000032512,Wdr48,1,349,E,Essential
ENSMUSG00000032515,Csrnp1,1,349,E,Essential
ENSMUSG00000032517,Mobp,1,349,NE,Nonessential
ENSMUSG00000032518,Rpsa,1,349,E,Essential
ENSMUSG00000032519,Slc25a38,1,349,NE,Nonessential
ENSMUSG00000032527,Pccb,1,349,E,Essential
ENSMUSG00000032528,Vipr1,1,349,E,Essential
ENSMUSG00000032532,Cck,1,349,NE,Nonessential
ENSMUSG00000032536,Trak1,1,349,E,Essential
ENSMUSG00000032537,Ephb1,1,349,NE,Nonessential
ENSMUSG00000032540,Abhd5,1,349,E,Essential
ENSMUSG00000032547,Ryk,1,349,E,Essential
ENSMUSG00000032548,Slco2a1,1,349,E,Essential
ENSMUSG00000032549,Rab6b,1,349,NE,Nonessential
ENSMUSG00000032551,1110059G10Rik,1,349,NE,Nonessential
ENSMUSG00000032554,Trf,1,349,E,Essential
ENSMUSG00000032555,Topbp1,1,349,E,Essential
ENSMUSG00000032556,Bfsp2,1,349,NE,Nonessential
ENSMUSG00000032557,Uba5,1,349,E,Essential
ENSMUSG00000032558,Nphp3,1,349,E,Essential
ENSMUSG00000032561,Acpp,1,349,NE,Nonessential
ENSMUSG00000032562,Gnai2,1,349,E,Essential
ENSMUSG00000032567,Aste1,1,349,NE,Nonessential
ENSMUSG00000032570,Atp2c1,1,349,E,Essential
ENSMUSG00000032571,Pik3r4,1,349,E,Essential
ENSMUSG00000032578,Cish,1,349,NE,Nonessential
ENSMUSG00000032580,Rbm5,1,349,E,Essential
ENSMUSG00000032584,Mst1r,1,349,E,Essential
ENSMUSG00000032586,Traip,1,349,E,Essential
ENSMUSG00000032589,Bsn,1,349,E,Essential
ENSMUSG00000032591,Mst1,1,349,NE,Nonessential
ENSMUSG00000032594,Ip6k1,1,349,E,Essential
ENSMUSG00000032596,Uba7,1,349,NE,Nonessential
ENSMUSG00000032598,Nckipsd,1,349,NE,Nonessential
ENSMUSG00000032599,Ip6k2,1,349,NE,Nonessential
ENSMUSG00000032601,Prkar2a,1,349,NE,Nonessential
ENSMUSG00000032602,Slc25a20,1,349,E,Essential
ENSMUSG00000032607,Amt,1,349,E,Essential
ENSMUSG00000032612,Usp4,1,349,NE,Nonessential
ENSMUSG00000032623,Oas1d,1,349,NE,Nonessential
ENSMUSG00000032633,Flcn,1,349,E,Essential
ENSMUSG00000032640,Chsy1,1,349,NE,Nonessential
ENSMUSG00000032641,Gpr19,1,349,NE,Nonessential
ENSMUSG00000032648,Pygm,1,349,NE,Nonessential
ENSMUSG00000032667,Pon2,1,349,NE,Nonessential
ENSMUSG00000032679,Cd59a,1,349,NE,Nonessential
ENSMUSG00000032688,Malt1,1,349,NE,Nonessential
ENSMUSG00000032691,Nlrp3,1,349,E,Essential
ENSMUSG00000032698,Lmo2,1,349,E,Essential
ENSMUSG00000032714,Syde1,1,349,NE,Nonessential
ENSMUSG00000032715,Trib3,1,349,NE,Nonessential
ENSMUSG00000032717,Mdfi,1,349,E,Essential
ENSMUSG00000032724,Abtb2,1,349,NE,Nonessential
